hip,tycho2_id,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
,641-752-1,1635378410781933568,8815334475700992,868892,2015.0,43.773463739552504,0.140655439042953,8.314010012620695,0.3503812471820779,0.8756831035840913,0.542563313640453,-5.447027130298694,1.0355770395062296,-11.78075723702532,0.49377638621021996,-0.40360525,0.4406423,-0.2559918,0.046344027,-0.9536154,-0.17198373,0.15579179,0.2572167,-0.32203692,-0.8883636,72,72,72,72,0,0,,0.3067797139695399,94.91865458448076,true,3.1369848,8.954525,2.3304865E-5,5,10,false,0.6374487,0.344631,0.8967843,0.82146585,-123.96508,5.1393495,-44.141594,27.16861,88,1713993.5639757738,3442.425441889991,9.939747096790699,NOT_AVAILABLE,167.51600814123344,-43.598211615469204,43.81656290040458,-8.026286554213774
,52-1265-1,1635378410781933568,19175963824813312,842425,2015.0,38.31271231034964,0.28923434781861723,6.3377283360344405,0.19718358795848095,1.9519246168979294,0.3039934558984295,15.340173028015911,2.259506788029961,-3.4401876142698127,0.949270486226948,-0.37045678,0.45534894,-0.58407664,0.3960955,-0.48173904,0.26854113,-0.32749978,0.069476016,-0.22194138,-0.8893965,62,62,62,57,0,5,,0.47148476758217195,170.27589086914682,true,4.677796,4.4200044,3.1311487E-5,5,9,false,0.44700828,0.24854776,0.6525213,0.91275036,-96.5106,1.1115712,-51.19849,25.969818,78,267464.11319897044,129.0587463207736,11.956606266033365,NOT_AVAILABLE,163.02086667960438,-48.44816070435131,37.997702460650196,-8.268740379657137
,644-403-1,1635378410781933568,28003049331520640,286893,2015.0,45.68397665824892,0.35121267972473946,12.47241771418788,0.20962372991832598,0.38256765027585915,0.41394248085540714,7.9511683910453606,2.0174953125146766,-6.252285560773325,1.2859758401445016,0.44696242,0.7155848,-0.32031828,-0.27371725,0.20392445,-0.034835055,-0.36411086,0.09818071,-0.58445686,-0.7359005,44,44,44,44,0,0,,0.4342829889648237,156.54202214582267,true,4.326256,4.664126,2.7530064E-5,5,6,false,0.5911676,0.29181448,0.5635027,0.82718074,-55.026066,-29.530886,-48.29287,33.620487,51,1082844.2370089996,735.766906390422,10.438355090034912,NOT_AVAILABLE,165.99398733687428,-39.1800433265195,46.818853929602405,-4.573821685376776
,1227-1205-1,1635378410781933568,35899913640720512,619742,2015.0,45.302226771193574,0.5153037487128206,18.52037003075065,0.29171739568232985,1.9410004480562815,0.39778722365314906,-7.083501084155432,1.2246620570870217,-5.2996886086046935,0.6264218274817074,-0.41463178,0.15305695,-0.7253542,0.3410574,-0.19646126,0.39363143,-0.6847311,-0.5493839,0.020725388,-0.35778043,89,89,89,85,0,4,,0.9301497171100747,549.1193798725936,true,9.070358,1.055755,2.6671847E-5,5,10,false,0.3079118,0.47573468,0.32417008,0.8345682,179.9044,14.200908,-31.737753,25.98642,89,1120707.9261303367,1091.050832628051,10.40103895518427,NOT_AVAILABLE,161.08131021238603,-34.5655107661288,48.15470892201729,1.3364577570586418
,1248-720-1,1635378410781933568,43368655609860864,156760,2015.0,57.562198332859744,0.32494268470806453,16.046527332777,0.12932650391173106,1.2789504108875427,0.26478082617720855,-0.04988870018728098,0.9343235063700778,-4.543275961718069,0.4488910031552964,-0.016088609,0.24741821,-0.6593994,0.052522916,0.19576724,0.10846845,-0.8078296,-0.46383458,-0.07755738,-0.28167343,305,305,305,293,0,12,,0.5657550047609896,340.50283614888883,true,5.57377,3.062475,2.5699534E-5,5,42,false,0.60091126,0.823597,0.59096724,0.6054193,-4.123701,2.3006215,-1.7421367,5.33062,365,226209.77265006842,79.75558621152628,12.13849165568792,NOT_AVAILABLE,173.42132654686432,-28.808566734352986,58.88770286466743,-3.9579831691069756
,1256-40-1,1635378410781933568,50801526012226176,1014849,2015.0,57.75985823013018,0.7703998381179474,19.358151188053892,0.18842940610118786,2.0470069738194194,0.5623843981731977,-6.918612077834817,2.1254758371044615,1.987243683390298,0.4922725768591265,0.85407555,0.9566388,-0.97882473,-0.71326303,0.8680766,-0.8227057,-0.9300279,-0.9610352,-0.72722167,0.658677,288,288,288,277,0,11,,0.4631993007499695,155.04297118811232,true,4.599381,4.4843616,2.0008725E-5,5,36,true,0.7381876,0.8098369,0.6923773,0.6238257,-5.014189,-0.819082,-1.7673004,2.869199,303,181114.10104693298,62.50103346465092,12.379889402322831,NOT_AVAILABLE,170.9274676992018,-26.335320429613315,59.77787282874335,-0.7624481282140937
,1238-949-1,1635378410781933568,56729920910394240,593647,2015.0,53.689648328738734,0.20519441425186286,18.54565195933,0.13399532109960843,1.973516472560376,0.26375992102779416,-9.329147222253381,0.6078804821955072,-8.521933213414826,0.32987649595350826,0.18754193,-0.35750982,-0.24580956,0.070379525,-0.6524878,0.40088683,-0.5311732,-0.39236596,0.3114884,-0.5411808,98,98,98,93,0,5,,0.35703606807382016,154.8600287733472,true,3.6020088,7.4396744,2.741472E-5,5,19,false,0.2536191,0.5550429,0.62720853,0.26354864,-104.03987,-1.4874371,-30.811846,34.97528,168,270494.99946026027,368.3857797323478,11.944371961647091,NOT_AVAILABLE,168.38341774033293,-29.56497027349903,55.84393276569939,-0.6920008174362949
,1797-300-1,1635378410781933568,63008510262779136,778113,2015.0,50.28540548271541,0.20350819682635057,24.11488585989409,0.1327224750478653,2.403694220226066,0.2542831996681558,4.456047354598598,1.740214543980617,-16.050489145112593,0.7554813318898668,0.13837494,0.017694606,-0.036618054,-0.12304107,-0.56112945,0.25880456,-0.37379545,-0.14277072,0.06119251,-0.9062023,80,80,80,79,0,1,,0.30062998157631365,97.9548559766852,true,3.0805492,9.701503,1.7879876E-5,5,18,false,0.34571472,0.61734056,0.7499482,0.2252773,-79.86222,-1.1065295,-34.641296,37.395855,154,2367930.0776944356,5200.730529431635,9.588847878806043,NOT_AVAILABLE,161.5610571095615,-27.309253653461255,54.13468488594177,5.48427668642738
,1804-633-1,1635378410781933568,67295815336485120,1877907,2015.0,58.05633724772736,0.3880598452335941,25.61337442798574,0.2397724539124439,2.1799915938504095,0.2371709581973133,11.398723772463008,1.8993476904825628,-6.178747443116186,0.9189796659616569,-0.67613775,0.14846916,-0.73068166,0.69944453,-0.1506415,0.80983263,-0.9178562,-0.07277935,0.17557727,-0.859527,202,202,201,192,1,10,,0.4670545646408603,641.9671308564965,true,4.6358595,4.3194857,3.3046952E-5,5,25,true,0.54477715,0.7666289,0.47960544,0.5228371,-16.404135,2.0982172,-7.8100886,5.4481807,217,560168.0923600092,1621.0315415050657,11.15397414529675,NOT_AVAILABLE,166.42063425972412,-21.61707018078371,61.371023823080506,5.2932065802928365
,1807-530-1,1635378410781933568,71361465739045120,1089647,2015.0,54.89279286298719,0.6189495500400569,27.546038301397825,0.12362679174124262,0.4247908464692324,0.5470069877439319,6.186134708277535,1.6769224403812337,-5.888971433855856,0.5223772998965522,0.5864458,0.95619017,-0.9306635,-0.6730492,0.60422,-0.47275063,-0.7999907,-0.8854443,-0.74004996,0.43862557,88,88,86,85,2,3,,0.31283845703374075,112.06902918726335,true,3.1926978,9.023134,2.436751E-5,5,13,false,0.24806456,0.65109813,0.41938582,0.4700401,-105.961555,9.68139,-39.70552,20.188087,114,2219760.2478556773,1250.9247350057954,9.659004889714131,NOT_AVAILABLE,162.75793854435955,-22.038693051821614,59.02395753202004,7.803515990084767
